Date,Description,Amount,REF,Available
11/05/2025,Online Transfer,687.64,59958815888,76345.62
11/05/2025,Mobile Payment,895.27,75574528245,78438.11
16/05/2025,Salary Deposit,1500.0,63743307514,11438.55
16/05/2025,Interest,428.92,90299534826,69228.99
18/05/2025,Salary Deposit,1500.0,82678349530,107092.56
19/05/2025,Service Charge,-443.69,93650306249,77401.93
20/05/2025,Mobile Payment,1429.86,41554124287,25450.35
21/05/2025,Online Transfer,-18.32,80234793040,83588.79
23/05/2025,Interest,1994.42,43041240926,14118.91
23/05/2025,POS Purchase,1910.47,62898090589,58096.07
24/05/2025,Interest,20.88,59737355164,6502.95
24/05/2025,Mobile Payment,835.88,68459956445,32523.73
25/05/2025,Credit Card Payment,1590.63,91234829869,18532.59
25/05/2025,Interest,-302.53,89923451531,37027.24
25/05/2025,Credit Card Payment,1956.35,84130244787,66019.96
26/05/2025,Utility Payment,525.44,26776265721,96159.93
28/05/2025,Service Charge,266.0,36451522352,75657.98
28/05/2025,Service Charge,1425.65,73238043519,86305.49
29/05/2025,Mobile Payment,-342.11,70832066966,20579.9
30/05/2025,Interest,84.11,65512870019,62277.01
30/05/2025,Salary Deposit,1500.0,45243479796,70728.99
30/05/2025,ATM Withdrawal,502.9,30802823605,96275.97
02/06/2025,Salary Deposit,1500.0,22968322893,22079.9
02/06/2025,ATM Withdrawal,243.21,79261110541,86835.03
04/06/2025,Salary Deposit,1500.0,75424058944,95634.49
04/06/2025,Interest,102.37,41520836501,105350.78
05/06/2025,POS Purchase,874.01,54537258597,24020.49
06/06/2025,ATM Withdrawal,-91.0,49019935020,7911.95
06/06/2025,Service Charge,1500.68,62200955497,53809.72
06/06/2025,ATM Withdrawal,1016.04,73319223566,94134.49
08/06/2025,ATM Withdrawal,1279.65,36611402779,46720.69
08/06/2025,ATM Withdrawal,567.01,74016815810,109474.43
09/06/2025,Salary Deposit,1500.0,29371226157,8002.95
09/06/2025,Reversal,-389.64,16250807133,40472.22
09/06/2025,Interest,210.53,73292598670,40682.75
10/06/2025,POS Purchase,428.79,16242957289,9938.55
11/06/2025,Service Charge,1005.41,63659975985,16941.96
11/06/2025,Service Charge,1766.53,17687990509,74931.21
12/06/2025,POS Purchase,-232.04,65446059705,9509.76
12/06/2025,ATM Withdrawal,1191.02,44975624013,26641.37
14/06/2025,Credit Card Payment,1803.01,31985941849,37329.77
14/06/2025,ATM Withdrawal,1649.56,94761125452,42647.27
14/06/2025,Mobile Payment,1727.41,25382169937,104116.72
15/06/2025,Online Transfer,717.01,37014689338,38943.11
16/06/2025,Reversal,1634.04,14116331717,45441.04
16/06/2025,ATM Withdrawal,1397.38,29714150603,48069.6
16/06/2025,ATM Withdrawal,1018.98,44314091592,49088.58
18/06/2025,ATM Withdrawal,1943.52,34825245174,59883.5
19/06/2025,Service Charge,1198.86,61694736511,38226.1
22/06/2025,Salary Deposit,1500.0,29002858982,67519.96
23/06/2025,Salary Deposit,1500.0,70041799580,52309.04
23/06/2025,POS Purchase,829.65,54024240406,89912.53
24/06/2025,Reversal,460.77,76877925410,75391.98
25/06/2025,Service Charge,-493.06,72177916385,82107.11
27/06/2025,ATM Withdrawal,-156.09,75577083111,57939.98
30/06/2025,Utility Payment,978.31,19428996235,39921.42
30/06/2025,Credit Card Payment,1131.69,28285473370,105248.41
01/07/2025,Reversal,140.91,97134097412,77542.84
